old	new
BMK2589_BasalFungi_Opisthokonta	BMK2589_Rotosphaerida_Opisthokonta
BMK2636_InSedOpisthokonta_Opisthokonta	BMK2636_InSedEukaryota_OtherEukaryota
BMK2663_Apicomplexa_Alveolata	BMK2663_InSedAlveolata_Alveolata
BMK2685_InSedAlveolata_Alveolata	BMK2685_Perkinsidae_Alveolata
BMK2731_BasalFungi_Opisthokonta	BMK2731_InSedEukaryota_OtherEukaryota
BMK2822_BasalFungi_Opisthokonta	BMK2822_Rotosphaerida_Opisthokonta
BMK2847_BasalFungi_Opisthokonta	BMK2847_Rotosphaerida_Opisthokonta
BMK2852_BasalFungi_Opisthokonta	BMK2852_InSedEukaryota_OtherEukaryota
BMK2893_BasalFungi_Opisthokonta	BMK2893_Rozellomycota_Opisthokonta
BMK2995_InSedOpisthokonta_Opisthokonta	BMK2995_InSedEukaryota_OtherEukaryota
BMK3016_InSedOpisthokonta_Opisthokonta	BMK3016_InSedEukaryota_OtherEukaryota
BMK3064_InSedAlveolata_Alveolata	BMK3064_Perkinsidae_Alveolata
BMK3084_InSedOpisthokonta_Opisthokonta	BMK3084_InSedEukaryota_OtherEukaryota
BMK3108_Apicomplexa_Alveolata	BMK3108_Colpodellida_Alveolata
BMK3148_InSedAlveolata_Alveolata	BMK3148_Perkinsidae_Alveolata
BMK3193_BasalFungi_Opisthokonta	BMK3193_InSedOpisthokonta_Opisthokonta
BMK3301_BasalFungi_Opisthokonta	BMK3301_Rotosphaerida_Opisthokonta
BMK3373_InSedAlveolata_Alveolata	BMK3373_Perkinsidae_Alveolata
BMK3481_BasalFungi_Opisthokonta	BMK3481_Rotosphaerida_Opisthokonta
BMK3545_BasalFungi_Opisthokonta	BMK3545_Rotosphaerida_Opisthokonta
BMK3571_BasalFungi_Opisthokonta	BMK3571_Chytridiomycota_Opisthokonta
BMK3700_InSedOpisthokonta_Opisthokonta	BMK3700_InSedEukaryota_OtherEukaryota
BMK3707_InSedAlveolata_Alveolata	BMK3707_Perkinsidae_Alveolata
BMK3712_Apicomplexa_Alveolata	BMK3712_Colpodellida_Alveolata
BMK3772_InSedOpisthokonta_Opisthokonta	BMK3772_InSedEukaryota_OtherEukaryota
BMK3817_BasalFungi_Opisthokonta	BMK3817_Rotosphaerida_Opisthokonta
BMK3847_InSedAlveolata_Alveolata	BMK3847_Perkinsidae_Alveolata
BMK3872_InSedAlveolata_Alveolata	BMK3872_Perkinsidae_Alveolata
BMK3936_BasalFungi_Opisthokonta	BMK3936_Rotosphaerida_Opisthokonta
BMK4091_BasalFungi_Opisthokonta	BMK4091_Chytridiomycota_Opisthokonta
BMK410_InSedAlveolata_Alveolata	BMK410_Perkinsidae_Alveolata
BMK4114_BasalFungi_Opisthokonta	BMK4114_Rotosphaerida_Opisthokonta
BMK4124_BasalFungi_Opisthokonta	BMK4124_InSedEukaryota_OtherEukaryota
BMK4142_BasalFungi_Opisthokonta	BMK4142_Rotosphaerida_Opisthokonta
BMK4229_Apicomplexa_Alveolata	BMK4229_InSedAlveolata_Alveolata
BMK4376_InSedAlveolata_Alveolata	BMK4376_Perkinsidae_Alveolata
BMK4487_BasalFungi_Opisthokonta	BMK4487_InSedEukaryota_OtherEukaryota
BMK4495_InSedAlveolata_Alveolata	BMK4495_Perkinsidae_Alveolata
BMK4509_Apicomplexa_Alveolata	BMK4509_Colpodellida_Alveolata
BMK4543_InSedAlveolata_Alveolata	BMK4543_Perkinsidae_Alveolata
BMK4587_Apicomplexa_Alveolata	BMK4587_Colpodellida_Alveolata
BMK4594_BasalFungi_Opisthokonta	BMK4594_Rotosphaerida_Opisthokonta
BMK4611_BasalFungi_Opisthokonta	BMK4611_Rotosphaerida_Opisthokonta
BMK4658_BasalFungi_Opisthokonta	BMK4658_NCLC1_Opisthokonta
BMK4692_BasalFungi_Opisthokonta	BMK4692_InSedEukaryota_OtherEukaryota
BMK4759_InSedOpisthokonta_Opisthokonta	BMK4759_InSedEukaryota_OtherEukaryota
BMK48_BasalFungi_Opisthokonta	BMK48_NCLC1_Opisthokonta
BMK4806_BasalFungi_Opisthokonta	BMK4806_Rotosphaerida_Opisthokonta
BMK4847_BasalFungi_Opisthokonta	BMK4847_Rotosphaerida_Opisthokonta
BMK4883_BasalFungi_Opisthokonta	BMK4883_Rotosphaerida_Opisthokonta
BMK4911_Apicomplexa_Alveolata	BMK4911_Colpodellida_Alveolata
BMK4921_BasalFungi_Opisthokonta	BMK4921_Chytridiomycota_Opisthokonta
BMK4926_InSedOpisthokonta_Opisthokonta	BMK4926_InSedEukaryota_OtherEukaryota
BMK4929_BasalFungi_Opisthokonta	BMK4929_Rozellomycota_Opisthokonta
